longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.86,28.551,2.9875680411350917e-05,1.0828577615029644e-05
76.87,28.551,,7.280411409738008e-06
76.88,28.551,1.7970625776797533e-05,1.4827060113020709e-05
76.891,28.551,1.2306432836339807e-05,1.0032176760432776e-05
76.901,28.551,,6.981190836086171e-06
76.911,28.551,7.501743675675243e-05,2.139241769327782e-05
76.922,28.551,8.882640941010322e-06,1.2690185030805878e-05
76.932,28.551,1.9634151612990536e-05,1.5214101040328387e-05
76.943,28.551,5.813535608467646e-06,1.9257215171819556e-05
76.953,28.551,1.0874916256398137e-07,-5.37253526999848e-06
76.963,28.551,1.6718448023311794e-05,5.270968017612176e-07
76.974,28.551,,3.38106156050344e-06
76.984,28.551,1.3933056834503075e-05,-1.340363041890669e-06
76.994,28.551,1.2655501450353768e-05,6.957107689231634e-05
77.005,28.551,9.222197149938438e-06,1.0261816896672826e-05
77.015,28.551,1.2383942703309003e-05,9.163791219179984e-06
77.026,28.551,1.3572777788795063e-05,1.0405350622022524e-05
77.036,28.551,1.2082875400665216e-05,-1.0030694284068886e-06
77.046,28.551,,4.999226348445518e-06
77.057,28.551,,1.22590790851973e-05
77.067,28.551,,1.0947112969006412e-05
77.078,28.551,-2.526351272535976e-05,1.4195864423527382e-05
77.088,28.551,1.0296016625943594e-05,9.691828381619416e-06
77.098,28.551,2.1007579562137835e-05,1.728532515699044e-05
77.109,28.551,-1.999229880311759e-06,-6.557288543262985e-06
77.119,28.551,1.7252939869649708e-05,7.404406687783194e-07
77.129,28.551,2.904281245719176e-05,6.280294201133074e-06
77.14,28.551,4.556857675197534e-06,9.905026672640815e-06
77.15,28.551,2.0659881556639448e-05,1.2458875971788077e-05
77.161,28.551,1.1637149327725638e-05,3.645137985586189e-05
77.171,28.551,2.375207031946047e-06,2.832111078987509e-07
77.181,28.551,4.555472969514085e-06,1.0387577276560478e-05
77.192,28.551,,8.895579412637744e-06
77.202,28.551,-4.86029421153944e-07,1.1397602975193877e-05
77.213,28.551,5.535093350772513e-06,9.358608622278553e-06
77.223,28.551,1.8293168977834284e-05,6.103364285081625e-06
77.233,28.551,,3.669278839879553e-06
77.244,28.551,2.6565885491436347e-06,8.558888112020213e-06
77.254,28.551,2.334278542548418e-05,4.994262781110592e-06
77.264,28.551,9.399224836670328e-06,6.774023404432228e-06
77.275,28.551,,2.345733082620427e-05
77.285,28.551,1.5322679246310145e-05,1.478703234170098e-05
77.296,28.551,,-2.3652509639759958e-07
77.306,28.551,1.5972418623277918e-05,-3.732719505933346e-06
77.316,28.551,1.7357666365569457e-05,-2.174324663428706e-06
76.849,28.561,8.132229595503304e-06,9.60187298915116e-06
76.86,28.561,3.013107379956637e-05,2.0454934201552533e-05
76.87,28.561,1.0471379027876536e-05,3.723786676346208e-06
76.88,28.561,1.338018773822114e-05,7.09397636455833e-06
76.891,28.561,1.1959054972976446e-05,-1.5378796888398938e-05
76.901,28.561,,8.028491720324382e-06
76.911,28.561,1.995166894630529e-05,1.3151154234947173e-05
76.922,28.561,8.945482477429323e-06,5.367756784835365e-06
76.932,28.561,1.7832888261182234e-05,1.3097082955937369e-05
76.943,28.561,1.2409602277330125e-05,9.55655013967771e-06
76.953,28.561,1.941948357853107e-05,4.397133125166874e-06
76.963,28.561,3.72925860574469e-05,2.43882677750662e-05
76.974,28.561,6.3480592871201225e-06,3.87767204301781e-06
76.984,28.561,2.1226749595371075e-05,2.0706142095150423e-05
76.994,28.561,,-3.7466832054633406e-06
77.005,28.561,3.9330392610281706e-05,1.228506698680576e-05
77.015,28.561,3.542301419656724e-05,6.531075541715836e-06
77.026,28.561,2.083966501231771e-05,4.83216717839241e-06
77.036,28.561,,4.748782157548703e-05
77.046,28.561,1.966037780221086e-05,1.8879338313126937e-05
77.057,28.561,5.134864113642834e-05,-6.991682312218472e-06
77.067,28.561,1.273910493182484e-05,4.795921995537356e-06
77.078,28.561,,3.766167083085747e-06
77.088,28.561,1.7683644273347454e-06,9.585188308847137e-06
77.098,28.561,1.7033682524925098e-05,1.4187705346557776e-05
77.109,28.561,,8.050385986280162e-06
77.119,28.561,3.252561509725638e-05,1.9191671526641585e-05
77.129,28.561,2.825856063282117e-05,-5.164606591279153e-07
77.14,28.561,3.195066256012069e-06,1.6201343896682374e-05
77.15,28.561,,1.654723018873483e-05
77.161,28.561,,1.066163804352982e-05
77.171,28.561,0.0001364503405056,8.409467227465939e-06
77.181,28.561,0.0002843519905582,1.950726073118858e-05
77.192,28.561,1.642659117351286e-05,4.663502750190673e-06
77.202,28.561,3.0908508961147163e-06,3.910701707354747e-06
77.213,28.561,6.590095381397987e-06,1.0160953934246209e-05
77.223,28.561,,1.3659633623319678e-05
77.233,28.561,3.912135980499443e-06,-8.199990588764194e-07
77.244,28.561,1.4893740626575893e-05,1.4414298675546888e-05
77.254,28.561,1.7429192666895688e-05,1.2985650755581446e-05
77.264,28.561,1.9758381313295104e-05,1.776114004314877e-05
77.275,28.561,1.9356017219251956e-05,3.1568753911415115e-05
77.285,28.561,1.5203700058918912e-05,9.358474926557392e-06
77.296,28.561,,2.871938249882078e-06
77.306,28.561,9.249251888832076e-06,8.31133820611285e-06
76.849,28.571,3.584558726288378e-05,4.926091605739202e-06
76.86,28.571,3.592507937355549e-06,2.721923010540195e-06
76.87,28.571,7.830772119632456e-06,1.5663857993786223e-05
76.88,28.571,5.338311893865466e-06,
76.891,28.571,1.3417849913821556e-05,8.340335625689477e-06
76.901,28.571,6.106783075665589e-06,5.226584107731469e-06
76.911,28.571,3.5601908166427165e-05,-1.7346415859265107e-08
76.922,28.571,,3.662065864773467e-06
76.932,28.571,8.269855243270285e-06,4.278062988305464e-06
76.943,28.571,7.231208655866794e-06,5.00241321788053e-06
76.953,28.571,1.4931702935427891e-05,7.940985597088002e-06
76.963,28.571,,1.6359304936486296e-05
76.974,28.571,3.1244257115758955e-05,4.766426172864158e-06
76.984,28.571,,1.736287413223181e-05
76.994,28.571,1.0217023373115808e-05,1.6965448594419286e-05
77.005,28.571,2.0009809304610823e-05,1.839316973928362e-05
77.015,28.571,4.220630216877908e-06,2.708692591113504e-06
77.026,28.571,7.004522922215983e-05,1.6125632100738585e-05
77.036,28.571,1.733047974994406e-05,5.233084721112391e-06
77.046,28.571,-1.6150767123690455e-06,-1.823629105501823e-07
77.057,28.571,2.234678140666801e-05,2.612085154396482e-06
77.067,28.571,2.413959737168625e-05,1.4787659665671526e-06
77.078,28.571,,8.49471689434722e-06
77.088,28.571,-1.8928842564491788e-06,3.571697379811667e-05
77.098,28.571,6.087330257287249e-05,4.548490323941223e-06
77.109,28.571,5.220391176408157e-05,7.29301154933637e-06
77.119,28.571,,2.2881440600031056e-05
77.129,28.571,,2.077079079754185e-05
77.14,28.571,1.5969961168593727e-05,3.834647657185997e-07
77.15,28.571,8.990522474050522e-06,8.635705853521358e-06
77.161,28.571,,1.7695565475150943e-05
77.171,28.571,-2.250704710604623e-06,2.9949947020213585e-06
77.181,28.571,1.638340108911507e-05,1.357385281153256e-05
77.192,28.571,8.555020031053573e-06,7.13335339241894e-06
77.202,28.571,2.568534364399966e-05,9.47811804508092e-06
77.213,28.571,,2.1042662410764024e-05
77.223,28.571,8.53854089655215e-06,4.73030786452e-06
77.233,28.571,,2.641885885168449e-06
77.244,28.571,,1.200418955704663e-05
77.254,28.571,,1.2237264854775276e-05
77.264,28.571,1.7877333448268473e-05,1.617066482140217e-05
77.275,28.571,2.4072125597740524e-05,2.711977322178427e-05
77.285,28.571,1.33515432025888e-05,3.033560824405868e-05
77.296,28.571,,8.742535101191606e-06
76.849,28.58,-1.2081422937626485e-06,1.537629032100085e-05
76.86,28.58,4.340029136074008e-06,8.899228305381257e-06
76.87,28.58,2.1213862055446956e-05,1.4261941032600587e-05
76.88,28.58,1.7793347069527954e-05,6.828592631791253e-06
76.891,28.58,,8.194657311832998e-06
76.901,28.58,2.4060813302639872e-05,2.505404881958384e-05
76.911,28.58,2.036633486568462e-05,2.003174085984938e-05
76.922,28.58,9.458210115553811e-06,1.513504048489267e-05
76.932,28.58,2.096230127790477e-05,3.717856088769622e-05
76.943,28.58,5.014387625124073e-06,1.9452989363344383e-05
76.953,28.58,1.247859836439602e-05,1.0089313036587557e-05
76.963,28.58,-4.4779941532624434e-08,2.416642200842034e-05
76.974,28.58,,1.880323725345079e-05
76.984,28.58,5.613333996734582e-06,4.8006322685978375e-06
76.994,28.58,1.802993938326836e-05,3.350277438585181e-06
77.005,28.58,1.1848200301756153e-05,6.433782800741028e-06
77.015,28.58,1.803152190404944e-05,1.0639587344485337e-05
77.026,28.58,,3.2362062484025955e-05
77.036,28.58,9.117246918322053e-06,-6.998694061621791e-06
77.046,28.58,,1.1388698339942491e-06
77.057,28.58,1.88070371223148e-05,8.243439879151992e-06
77.067,28.58,,2.41449051827658e-05
77.078,28.58,1.3899631085223518e-05,1.0146630302187988e-05
77.088,28.58,1.901582072605379e-05,5.996579602651764e-06
77.098,28.58,2.0073013729415837e-05,1.7998363546212204e-05
77.109,28.58,1.2180851626908408e-05,2.2525262465933334e-05
77.119,28.58,,1.159738349088002e-05
77.129,28.58,,1.5486322809010744e-05
77.14,28.58,3.3360469387844205e-05,8.451705980405677e-06
77.15,28.58,1.5113469999050722e-05,7.616495167894754e-06
77.161,28.58,,8.495975635014474e-06
77.171,28.58,1.5352228729170747e-05,1.1622822057688609e-05
77.181,28.58,-3.1336672691395506e-05,3.0429191610892303e-05
77.192,28.58,3.784100044867955e-05,2.1922200176049955e-05
77.202,28.58,7.69116923038382e-06,1.4062064110476058e-05
77.213,28.58,3.7889392842771485e-05,2.113936352543533e-05
77.223,28.58,1.9462018826743588e-05,6.691467660857597e-06
77.233,28.58,,9.491503988101613e-06
77.244,28.58,1.0881022717512678e-05,4.156002887611976e-06
77.254,28.58,0.0001304145844187,1.498579695180524e-05
77.264,28.58,1.8385931980446912e-05,9.609711923985742e-06
77.275,28.58,0.0001150340322055,1.4876630984872463e-06
77.285,28.58,,8.879474989953451e-06
77.296,28.58,-1.6189012512768386e-06,7.583492788398871e-06
76.87,28.59,,-2.006843033086625e-06
76.88,28.59,1.9634151612990536e-05,1.5731795429019257e-05
76.891,28.59,3.204641689080745e-05,1.0765162187453823e-05
76.901,28.59,1.3345229490369093e-06,1.175741545011988e-05
76.911,28.59,1.875405723694712e-05,1.2653226804104634e-05
76.922,28.59,2.859259257093072e-05,4.4202311073604506e-06
76.932,28.59,,2.5993278995883884e-06
76.943,28.59,1.2979642633581534e-05,6.957107689231634e-05
76.953,28.59,1.2031811820634177e-05,6.466806098615052e-06
76.963,28.59,,1.888787664938718e-05
76.974,28.59,3.178755650878884e-05,2.1406844098237343e-05
76.984,28.59,6.263206159928814e-06,9.449716344533954e-06
76.994,28.59,3.174713128828444e-05,6.674645646853605e-06
77.005,28.59,1.6051577404141426e-05,1.812248592614196e-05
77.015,28.59,1.2829053957830183e-05,7.244506377901416e-06
77.026,28.59,3.456195554463193e-05,2.032690099440515e-05
77.036,28.59,4.308326242608018e-05,1.3835494428349191e-05
77.046,28.59,9.335278264188672e-06,-8.412564966420177e-06
77.057,28.59,3.009319880220573e-05,2.6460114895598963e-05
77.067,28.59,1.7038206351571716e-05,-6.193792614794802e-06
77.078,28.59,1.4159086276777089e-05,4.390620688354829e-06
77.088,28.59,2.3639951905352063e-05,2.234737439721357e-05
77.098,28.59,-1.956070445885416e-05,1.7106962332036346e-05
77.109,28.59,1.159589555754792e-05,9.844217856880276e-06
77.119,28.59,7.871359230193775e-06,2.131149631168228e-05
77.129,28.59,2.600769221317023e-05,1.1329800145176703e-05
