longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.254,28.512,5.5098411394283175e-05,-1.9092987713520412e-05,3.464537314812333e-07,1.2853562111558858e-05
77.264,28.512,2.7470718123367988e-05,2.6624495149008e-05,3.3411952244932763e-06,1.6411022443207912e-05
77.275,28.512,1.311014057137072e-05,6.218418093340006e-06,0.0002857944346033,1.425776099495124e-05
77.285,28.512,8.277424967673142e-06,3.321065378258936e-05,0.0001511273148935,5.651746050716611e-06
77.296,28.512,0.0004275000828783,-7.89934529166203e-06,-3.360202981639304e-06,1.446743044652976e-05
77.306,28.512,4.398960663820617e-05,,1.797595359676052e-05,1.804979365260806e-05
77.316,28.512,0.0003141590568702,-1.6094625607365742e-05,3.4284847060916945e-05,-7.231838026200421e-07
77.327,28.512,0.0001963701361091,-4.376183824206237e-06,8.31627839943394e-05,1.203990996145876e-05
77.337,28.512,6.100404789322056e-06,,2.9368698960752223e-05,5.066532594355522e-06
76.891,28.522,3.562506753951311e-05,2.559685890446417e-05,2.635225791891571e-05,2.0090070393052883e-05
76.901,28.522,3.293095505796373e-05,,3.917475623893552e-05,9.325192877440712e-06
76.911,28.522,8.296423766296357e-05,3.5409029806032777e-06,,2.1798965462949127e-05
76.922,28.522,5.984187009744346e-05,,2.20055317186052e-05,2.7008451070287265e-05
76.932,28.522,5.654988490277901e-05,,1.3591102288046386e-05,9.049694540408382e-07
76.943,28.522,-7.441919933626195e-07,-2.744437733781524e-05,1.797947334125638e-05,1.0751820809673518e-05
76.953,28.522,4.965642801835202e-05,,1.873530163720716e-05,2.0124743969063275e-05
76.963,28.522,1.078354489436606e-05,-1.905364479171112e-05,1.486222663515946e-05,1.641833659959957e-05
76.974,28.522,4.7564535634592175e-06,2.2067381451051915e-06,0.0001475235767429,1.3412080079433508e-05
76.984,28.522,-2.138667468898348e-06,-2.0695939383585937e-05,5.852114099980099e-06,-5.958559654573037e-07
76.994,28.522,0.0001238658878719,2.8449363526306115e-05,9.668134589446709e-05,9.759916110851918e-07
77.005,28.522,8.959174738265574e-05,,6.843511073384434e-05,3.6044151784153655e-05
77.015,28.522,7.353026740020141e-05,1.665792842686642e-05,1.118901309382636e-05,1.8164300854550675e-05
