longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.911,28.561,-1.313681821102364e-07,1.7551112250657752e-05,
76.922,28.561,1.0236396519758271e-05,8.719367542653345e-06,
76.932,28.561,1.4809811546001583e-05,2.690753899514675e-05,2.1107696738909e-05
76.943,28.561,4.64296590507729e-06,-4.482392341742525e-07,7.625387297593987e-06
76.953,28.561,4.5036940719001e-06,4.151223038206808e-06,5.4809992434456944e-05
76.963,28.561,4.218446520098951e-06,1.653347680985462e-05,
76.974,28.561,-3.485344564069237e-07,2.956181560875848e-05,6.110838057793444e-06
76.984,28.561,6.623200988542521e-06,7.305771760002244e-06,1.9144106772728264e-05
76.994,28.561,,1.0950709111057222e-05,2.311527896381449e-05
77.005,28.561,1.4555255347659113e-06,1.7230529920198023e-05,2.9016171538387425e-05
77.015,28.561,1.7768971929399413e-06,1.2521295502665453e-05,2.4294711693073623e-05
77.026,28.561,9.440738722332752e-06,,-1.2737373253912665e-06
77.036,28.561,2.910591547333752e-06,,4.258031185599975e-05
77.046,28.561,1.851408524089493e-05,2.286116250616033e-05,2.7539786970010027e-05
77.057,28.561,1.7659272089076694e-06,9.975335160561372e-06,1.3490944184013642e-05
77.067,28.561,7.79146830609534e-06,4.3081530748168007e-05,1.7608681446290575e-05
77.078,28.561,7.338930572586832e-06,,2.5005754650919695e-05
77.088,28.561,1.8317659851163624e-06,4.343405817053281e-05,4.268670454621315e-05
77.098,28.561,9.565497748553751e-06,1.5647152395104058e-05,2.1297788407537155e-05
77.109,28.561,-5.271583177091088e-06,7.307838586712023e-06,1.3806959032081068e-05
77.119,28.561,6.947954261704581e-06,1.524864273960702e-05,1.4713525160914289e-05
77.129,28.561,1.9401088593440363e-06,2.4560978999943472e-05,7.145848940126598e-05
77.14,28.561,5.150919264451659e-07,,1.4402374290511943e-05
77.15,28.561,-9.045381830219412e-07,5.351616891857702e-06,2.37320527958218e-05
77.161,28.561,1.592869193700608e-05,1.562914258101955e-05,
