longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.213,28.492,,,1.474442342441762e-05,1.1749087207135744e-05,4.156131399213336e-05,0.0001942574017448,2.642829713295214e-06,,-8.689376613801869e-07,,-3.2733281841501594e-05,2.165300065826159e-05
77.223,28.492,9.770062752068044e-05,,-2.832175368894241e-06,1.813713424780872e-05,3.219444988644682e-05,8.225261990446597e-05,,,5.946662895439658e-06,0.0001193931093439,,
77.233,28.492,,3.035359077330213e-05,6.07219226367306e-06,1.871195127023384e-05,2.1465222744154744e-05,2.5325934984721243e-05,,,3.910901341441786e-06,2.0895251509500667e-05,,4.5829325244994834e-05
77.244,28.492,8.816401532385498e-06,2.5048735551536083e-05,-1.9125193375657545e-06,2.307142676727381e-05,,0.0001046774850692,-5.911246262257919e-06,,-1.7021160374497413e-06,5.301833152770996e-05,-1.9258584870840423e-05,
77.254,28.492,3.944087075069547e-05,,1.361140402877936e-05,1.312575568590546e-05,,0.0001422026689397,,,-9.603024864190957e-07,3.4281270927749574e-05,,
77.264,28.492,4.2489077713980805e-06,2.344258791708853e-05,3.265198756707832e-05,2.254234095744323e-05,6.407468754332513e-05,6.518968439195305e-05,,,-1.7579883433427312e-06,4.798670488526113e-05,-1.5227186850097496e-05,1.640895425225608e-05
77.275,28.492,-2.696000228752382e-05,,9.48845990933478e-06,1.1523619832587428e-05,5.7132703659590334e-05,1.0153296898351982e-05,,,-8.911088684726565e-07,1.7702830518828705e-05,,1.640895425225608e-05
77.306,28.492,4.882729990640655e-05,,-6.057263817638159e-05,1.115926897909958e-05,6.87488354742527e-05,7.796011777827516e-05,,,-3.295347369203228e-06,1.8723696484812532e-05,,1.628739119041711e-05
77.316,28.492,-6.466807462857105e-06,1.8646876924321987e-05,5.300084012560546e-05,2.4173661586246453e-05,,0.0001026992540573,,,-2.4535258944524685e-06,3.609038321883418e-05,-1.0165081221202854e-05,1.4182364793668968e-05
77.327,28.492,4.554108818410896e-05,2.233088707725983e-05,1.2529613741207868e-05,6.360500265145674e-06,,-7.149990778998472e-06,-7.21485730537097e-06,,4.768899088958278e-06,2.6253603209625e-05,-2.578316161816474e-05,2.8521340937004425e-05
76.891,28.502,7.146338703023503e-06,,6.840729838586412e-06,9.093464905163272e-05,0.0001412841957062,8.638744475319982e-05,,,-1.002591488941107e-05,,-2.6774860089062716e-05,2.013276935031172e-05
77.109,28.502,,2.9884680770919655e-05,8.764037374930922e-06,9.204509296978358e-06,,2.0554212824208665e-05,2.642829713295214e-06,,1.04969082315165e-07,1.3074193702777848e-05,,1.9416007489780892e-05
77.119,28.502,-1.95146585610928e-05,,1.068541496351827e-05,1.3839110579283442e-05,7.517389894928783e-05,3.450082294875756e-05,,,4.5222827793622855e-06,1.7652928363531828e-05,-1.814341521821916e-05,1.5675514077884145e-05
77.129,28.502,,2.309326191607397e-05,1.0617308362270704e-05,5.7537099564797245e-06,4.339415318099782e-05,6.750441389158368e-05,-5.911246262257919e-06,,3.896955604432151e-06,1.3391040738497397e-05,-2.6299838282284327e-05,
77.14,28.502,0.0001724031171761,3.0400291507248767e-05,2.9650391297764145e-06,-6.855751962575596e-06,3.475093762972392e-05,0.0001622998679522,,,2.7587329896050505e-06,5.632899410557002e-05,,1.5107582839846144e-05
77.15,28.502,-4.29538431490073e-06,2.821668931574095e-05,2.2759591047361027e-06,4.4147112930659205e-05,,7.536269549746066e-05,,,-4.5261676859809086e-06,4.107412678422406e-05,-1.6903119103517383e-05,2.864785528799985e-05
77.161,28.502,2.188362486776896e-06,3.077811925322749e-05,1.6115936887217686e-05,-5.8344141962152214e-08,3.7528396205743775e-05,2.7953994504059665e-05,,,3.6814087707170975e-06,,,4.553807229967788e-05
77.171,28.502,-5.656023404299049e-06,1.9754486856982112e-05,7.9592473412049e-06,3.4033789688692195e-06,2.896405385399703e-05,2.83413191937143e-06,-1.3167412362236064e-05,,-8.173166747837968e-07,2.717982351896353e-05,,1.5979574527591467e-05
77.181,28.502,-1.5389137843158096e-05,2.8891314286738637e-05,1.4375965292856565e-05,1.0828704262166866e-06,3.2918440410867333e-05,3.945903154090047e-05,,,2.8194963306305e-06,5.199418956181034e-05,,2.567149931564927e-05
77.192,28.502,4.16261718783062e-05,2.580575346655678e-05,9.40207792154979e-06,-2.0286794097046368e-05,,0.000154596302309,,,-2.2922679363546195e-06,1.5157464076764882e-05,-8.060581421887036e-06,
77.202,28.502,-5.192792400521284e-07,1.536674244562164e-05,6.152086371002952e-06,8.887750482244883e-06,5.801388761028648e-05,6.364323053276166e-05,,,-6.954090849831118e-07,2.296644379384816e-05,,1.5688103303546086e-05
77.213,28.502,-5.070008910479373e-07,2.752676846284885e-05,8.980493475974072e-06,1.538071228424087e-05,,0.0001750194642227,,,-6.334404588415055e-06,1.67833950399654e-05,-1.5227186850097496e-05,4.626957161235623e-05
77.223,28.502,-9.587863836202361e-09,,6.123995603957155e-07,2.116767609550152e-05,6.472062523243949e-05,7.598354568472132e-05,,,-9.603024864190957e-07,0.0001141589455073,,2.756595677055884e-05
77.233,28.502,-2.1845322407898493e-05,,1.935234286065679e-05,1.3117480193614028e-05,,0.0002316304598934,,,5.65395157536841e-06,,-1.07772038973053e-05,2.188176586059853e-05
77.244,28.502,4.2489077713980805e-06,,-4.413080750964582e-05,9.350346226710826e-05,5.048789171269164e-05,2.588479219411965e-05,,,-3.177532335030264e-06,2.1267189367790703e-05,,
77.254,28.502,9.927375685947482e-06,2.5717983589856885e-05,3.333645508973859e-05,0.00010986423149,1.7658810975262895e-05,3.526998625602573e-05,,,6.966063210711582e-06,9.267342829843984e-05,-8.882673682819586e-06,
77.264,28.502,6.362270596582675e-06,1.5438097761943936e-05,1.061746934283292e-05,1.0687386748031711e-05,3.843607191811316e-05,7.700631977058947e-05,,,-5.727043117076391e-06,3.623114025685936e-05,-1.0165081221202854e-05,2.2062422431190495e-05
77.275,28.502,-1.2633432561415248e-05,2.344548192922957e-05,7.090705821610754e-06,1.512123617430916e-05,2.1465222744154744e-05,2.506546479708049e-05,,,2.317961843800731e-06,,-1.4045578609511722e-05,6.941007450222969e-05
77.285,28.502,6.033004683558829e-05,,4.895195615972625e-06,1.1729358448064886e-05,3.0103044991847128e-05,7.808298687450588e-05,,,-1.918013197155233e-07,5.301833152770996e-05,,1.844646794779692e-05
77.296,28.502,-1.501202041254146e-05,2.3551958292955533e-05,1.167182927019894e-05,1.541526216897182e-05,,4.1342129406984895e-05,,,4.885763246420538e-06,3.4281270927749574e-05,-6.7247915467305575e-06,1.98534344235668e-05
77.306,28.502,7.466116949217394e-05,,1.0561760063865222e-05,6.7580276663647965e-06,,0.0001900462229968,,,-1.1883867045980878e-06,,,1.98534344235668e-05
