longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.192,28.473,3.819707671937067e-06,-1.4202404599927831e-05,1.3505413335224148e-05,4.333041943027638e-05,3.7358473491622135e-05,2.988580490637105e-05,-7.681753231736366e-06,7.430673576891422e-06,-3.429526259424165e-05,-8.15410112409154e-06,2.3857190171838735e-05,3.79968223569449e-05,2.1991232642903924e-05
77.202,28.473,-2.3426524421665817e-05,-9.534508535580244e-06,-7.871909133427835e-07,0.0001988895091926,1.3132495041645598e-05,6.130271503934637e-05,-7.681753231736366e-06,-9.6113835752476e-06,,-7.206073496490717e-05,1.9033475837204605e-05,5.825484549859539e-06,2.9687040296266787e-05
77.213,28.473,3.225823456887156e-05,-2.5662226107669998e-05,1.674301893217489e-05,2.9751696274615824e-05,9.947013495548164e-06,1.701421570032835e-05,-3.415671380935237e-05,8.470739885524381e-06,-3.184997331118211e-05,-2.207574652857147e-05,3.1142910302150995e-05,2.4062860575213563e-06,2.2131926016299985e-05
77.223,28.473,7.177984116424341e-06,1.1523628018039744e-05,1.0582245522527955e-05,2.3385451640933752e-05,4.871649707638426e-06,2.184013465011958e-05,-3.344175638630986e-05,-3.18441749413978e-07,-8.237439033109695e-06,-3.283937621745281e-05,7.637748240085784e-06,2.162897726520896e-05,2.5419951271032915e-05
77.233,28.473,0.0002490047190804,1.3362774552660994e-05,-3.492765699775191e-06,2.2493522919830863e-05,6.139003289717948e-06,3.640560680651106e-05,2.171559390262701e-05,7.447686130035436e-06,-3.806208769674413e-05,-2.042710912064649e-05,9.145199874183164e-05,-2.650309170348919e-06,
77.119,28.482,1.487216832174454e-05,,6.0257871155045e-06,2.0818681150558405e-05,6.825518994446611e-06,1.5316056305891834e-05,-1.7917784589371877e-06,-0.0001226270833285,-4.071123112225905e-05,-1.9023082131752744e-05,-4.79018899568473e-06,1.0781892342492938e-05,3.245814878027886e-05
77.129,28.482,5.110263737151399e-05,,5.580785909842234e-06,4.199499380774796e-05,1.082692324416712e-05,2.460237374179997e-05,-8.493569475831464e-05,-2.2176877791935112e-06,-9.780999789654745e-06,-7.206073496490717e-05,3.814569936366752e-05,6.24939957560855e-06,1.95055781659903e-05
77.14,28.482,2.1528958313865587e-05,-2.515993037377484e-05,1.4566288882633671e-05,3.0750616133445874e-05,1.053444702847628e-05,3.291971006547101e-05,-3.415671380935237e-05,1.4954592188587412e-05,-2.071951348625589e-05,-2.674767529242672e-05,1.4217917851055972e-05,9.082554242922924e-06,1.8730903320829384e-05
77.15,28.482,8.151066140271723e-06,-4.544145667750854e-06,-2.092392833219492e-06,-1.2264074484846788e-06,1.6674286598572508e-05,1.492806950409431e-05,,2.358173333050217e-06,-9.780999789654745e-06,-2.103588485624641e-05,1.4217917851055972e-05,2.9144762265786994e-06,1.3597165889223106e-05
77.161,28.482,5.0032776925945655e-06,2.070563368761213e-06,4.396215899760136e-06,2.651906652317848e-05,7.98063920228742e-05,3.014781941601541e-05,-2.315426900167949e-05,6.570903678948525e-06,-2.5548164558131248e-05,3.815742729784688e-06,-4.79018899568473e-06,-9.819625574891688e-07,6.966213550185785e-05
77.171,28.482,6.897041748743504e-05,1.3620376194012351e-05,9.437651897314936e-06,2.643895822984632e-05,1.020005493046483e-05,5.0354519771644846e-05,-2.315426900167949e-05,3.3446060569986003e-06,-2.9564507713075727e-05,-1.6060837879194878e-05,1.6688791220076382e-05,3.348480277054477e-06,2.392080205027014e-05
77.181,28.482,2.917099482147023e-05,-4.255594831192866e-05,-1.0156211828871164e-05,0.0004684912564698,5.612479071714915e-06,2.9705077395192347e-05,1.3717331967200153e-05,-5.96641893935157e-06,-4.413376700540539e-06,-6.64263734506676e-06,7.420784095302224e-05,5.825484549859539e-06,6.491647945949808e-05
77.192,28.482,0.0004849341639783,-2.010768866966828e-06,-3.171629214193672e-05,2.384219624218531e-05,3.090503014391288e-05,3.9563161408295855e-05,2.20895617530914e-05,-4.67963445771602e-06,-6.148239208414452e-06,-3.283937621745281e-05,1.6795442206785083e-05,1.0201214308835915e-06,2.676077747310046e-05
77.202,28.482,6.10975839663297e-05,1.1523628018039744e-05,-4.330783212935785e-06,6.819070677011041e-06,2.030533869401552e-05,2.8040709366905503e-05,1.7618787751416676e-05,1.231477472174447e-05,-1.2283818250580223e-05,-2.042710912064649e-05,3.150061456835829e-05,1.0727990229497664e-05,2.832878817571327e-05
77.213,28.482,2.413853144389577e-05,-3.837174881482497e-05,5.606113063549856e-06,2.853953446901869e-05,9.55440009420272e-06,5.299616168485954e-05,3.4406671147735324e-06,-6.802139523642836e-06,-1.240601977769984e-05,-2.146725819329731e-05,1.7205398762598634e-05,6.460023996623932e-06,4.116632408113219e-05
77.223,28.482,0.0004643985303118,-6.679689477095963e-07,-1.4935970284568612e-05,2.2013111447449774e-05,5.349266757548321e-06,2.333322299818974e-05,-3.429197022342123e-05,1.3296256838657428e-05,-9.970973223971669e-06,-2.7576330467127264e-05,1.694481761660427e-05,-1.3319164509084658e-06,2.4767783543211408e-05
77.233,28.482,3.6875011574011296e-05,8.890423487173393e-06,-2.045034079856123e-06,2.7022844733437523e-05,8.321086170326453e-06,1.824307764763944e-05,3.4406671147735324e-06,6.039185791451018e-06,-4.547531716525555e-06,-5.473148576129461e-06,1.874426016001962e-05,3.214304797438672e-06,4.919538332615048e-05
77.244,28.482,4.485110184759833e-05,-2.3044862246024422e-05,-3.5671337172971107e-06,7.834127245587297e-06,1.6982470697257668e-05,2.523748298699502e-05,3.4406671147735324e-06,1.1518652172526345e-05,-4.631385763786966e-06,-1.462628279114142e-05,1.9033475837204605e-05,2.5084148091991665e-06,3.650415237643756e-05
77.129,28.492,0.0001493056333856,-1.6035419321269728e-05,6.32791807220201e-06,6.448713247664273e-05,1.1344695849402342e-05,3.611910142353736e-05,-6.526441575260833e-05,0.0002523371367715,-2.9564507713075727e-05,-1.6747002518968657e-05,1.8393788195680827e-05,6.152380137791624e-06,2.299916923220735e-05
77.14,28.492,-1.3156500244804192e-05,6.758630661352072e-06,2.812039383570664e-06,1.981948298634961e-05,1.5099657503014896e-05,1.5316056305891834e-05,-7.024611477390863e-06,-4.915325462206965e-06,-3.717044819495641e-05,-1.1815273865067866e-05,8.809850260149688e-05,1.5688805433455855e-05,1.4814811038377227e-05
77.15,28.492,0.0001225851738126,-4.996206826035632e-06,-1.3178886547393631e-05,1.0393177035439294e-05,1.6527790648979135e-05,1.5316056305891834e-05,-7.024611477390863e-06,1.0253972504870036e-05,-2.6085832359967757e-05,-2.9893819373683076e-05,2.026504989771638e-05,1.0445380212331656e-05,6.269918958423659e-05
